No,Nama Motor,Usia Motor (tahun),Jarak Tempuh (km),Gejala Kerusakan,Kelas Perawatan Kebutuhan,Komponen yang Diperiksa,Harga (Rp)
223,Yamaha R25,6,50500,Mesin mati mendadak,Tinggi,"Cek pengapian, CDI/ECU","Rp 1,525,250"
224,Kawasaki D-Tracker 150,3,25200,Rantai berisik,Ringan,"Setel rantai, pelumasan","Rp 262,600"
225,Yamaha XMAX 250,1,10200,Normal,Ringan,Service rutin,"Rp 255,100"
226,Kawasaki Z900,4,38500,Kopling keras,Sedang,"Ganti kabel kopling, setel","Rp 769,250"
227,Yamaha Fino,7,48900,Knalpot berasap,Tinggi,"Ganti ring piston, cek blok","Rp 1,524,450"
228,Kawasaki Z1000,5,45000,Rem depan blong,Tinggi,"Master rem, minyak rem","Rp 1,522,500"
229,Yamaha Mio J,9,70100,Suara mesin kasar,Tinggi,"Turun mesin, Overhaul","Rp 1,535,050"
230,Kawasaki KLX 250,2,16500,Normal,Ringan,Service rutin,"Rp 258,250"
231,Yamaha NMAX 155,3,28000,Getaran CVT,Sedang,Ganti V-Belt dan Roller,"Rp 764,000"
232,Kawasaki Ninja 250,5,42000,Oli bocor tipis,Sedang,"Ganti seal oli, paking","Rp 771,000"
233,Yamaha Aerox 155,1,12000,Normal,Ringan,"Oli mesin, cek busi","Rp 256,000"
234,Kawasaki KLX 150,6,55000,Tarikan berat,Sedang,"Service karburator, filter","Rp 777,500"
235,Yamaha Vixion,4,30000,Normal,Ringan,"Ganti oli, setel rantai","Rp 265,000"
236,Yamaha Mio M3,8,52000,Mesin berisik,Tinggi,"Cek stang piston, Turun mesin","Rp 1,526,000"
237,Kawasaki W175,3,20000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 760,000"
238,Yamaha NMAX 155,5,40000,Gredeg saat akselerasi,Sedang,Ganti kampas ganda,"Rp 770,000"
239,Kawasaki Ninja 250,7,60000,Knalpot berasap putih,Tinggi,"Ganti ring piston, Turun mesin","Rp 1,530,000"
240,Yamaha Jupiter Z,9,80000,Suara mesin kasar,Tinggi,Overhaul total,"Rp 1,540,000"
241,Yamaha Lexi,4,35000,Rem kurang pakem,Sedang,"Ganti kampas rem, setel","Rp 767,500"
242,Kawasaki Z250,2,18000,Normal,Ringan,Service rutin,"Rp 259,000"
243,Yamaha R15,5,45000,Mesin panas,Sedang,"Cek radiator, oli mesin","Rp 772,500"
244,Kawasaki D-Tracker 150,4,30000,Rantai berisik,Ringan,Pelumasan rantai,"Rp 265,000"
245,Yamaha XMAX 250,2,15000,Normal,Ringan,Service rutin,"Rp 257,500"
246,Kawasaki Z900,5,40000,Kopling selip,Tinggi,Ganti set kopling,"Rp 1,520,000"
247,Yamaha Fino,6,50000,Tarikan berat,Sedang,"Service CVT, ganti roller","Rp 775,000"
248,Kawasaki Z1000,6,55000,Mesin mati mendadak,Tinggi,"Cek pengapian, ECU","Rp 1,527,500"
249,Yamaha Mio J,7,60000,Gredeg saat jalan,Sedang,"Kampas ganda, V-belt","Rp 780,000"
250,Kawasaki KLX 250,3,25000,Normal,Ringan,"Service rutin, cek rantai","Rp 262,500"
251,Yamaha NMAX 155,5,42000,Getaran CVT parah,Tinggi,"Ganti V-belt, roller, kampas ganda","Rp 1,521,000"
252,Kawasaki Ninja 250,3,25000,Oli bocor,Sedang,"Ganti seal, paking","Rp 762,500"
253,Yamaha Aerox 155,6,50000,Starter sulit,Sedang,"Cek aki, service throttle body","Rp 775,000"
254,Kawasaki KLX 150,8,70000,Suspensi belakang ambles,Tinggi,Ganti shockbreaker,"Rp 1,535,000"
255,Yamaha Vixion,5,40000,Tarikan berat,Sedang,Service karburator/injeksi,"Rp 770,000"
256,Yamaha Mio M3,7,65000,Knalpot berasap,Tinggi,"Ganti ring piston, Turun mesin","Rp 1,532,500"
257,Kawasaki W175,5,35000,Bunyi aneh di mesin,Sedang,"Cek rantai keteng, setel","Rp 767,500"
258,Yamaha NMAX 155,8,75000,Overheat,Tinggi,"Ganti radiator, cek water pump","Rp 1,537,500"
259,Kawasaki Ninja 250,4,30000,Normal,Ringan,"Service rutin, cek cairan","Rp 265,000"
260,Yamaha Jupiter Z,6,55000,Mesin berisik,Tinggi,"Turun mesin, cek klep","Rp 1,527,500"
261,Yamaha NMAX 155,6,50000,Gredeg saat akselerasi,Sedang,"Bersihkan CVT, ganti roller","Rp 775,000"
262,Kawasaki Ninja 250,7,65000,Kopling selip,Tinggi,"Set kopling baru, oli","Rp 1,532,500"
263,Yamaha Aerox 155,2,18000,Normal,Ringan,Service rutin,"Rp 259,000"
264,Kawasaki KLX 150,5,40000,Rantai berisik,Sedang,Ganti gear set,"Rp 770,000"
265,Yamaha Vixion,8,75000,Oli bocor parah,Tinggi,"Turun mesin, ganti seal","Rp 1,537,500"
266,Yamaha Mio M3,3,25000,Tarikan berat,Sedang,"Service CVT, ganti V-belt","Rp 762,500"
267,Kawasaki W175,6,45000,Rem kurang pakem,Sedang,"Ganti kampas rem, setel","Rp 772,500"
268,Yamaha NMAX 155,4,38000,Normal,Ringan,"Service rutin, ganti oli","Rp 269,000"
269,Kawasaki Ninja 650,5,45000,Mesin bergetar,Tinggi,"Cek balance, setting injeksi","Rp 1,522,500"
270,Yamaha Jupiter Z,9,85000,Knalpot berasap,Tinggi,"Overhaul, ganti ring piston","Rp 1,542,500"
271,Yamaha Lexi,3,22000,Rem kurang pakem,Sedang,Ganti kampas rem depan/belakang,"Rp 761,000"
272,Kawasaki Z250,4,30000,Tarikan berat,Sedang,"Tune up, service injeksi","Rp 765,000"
273,Yamaha R15,6,55000,Mesin panas,Tinggi,"Cek radiator bocor, ganti air","Rp 1,527,500"
274,Kawasaki D-Tracker 150,5,35000,Rantai kendor,Ringan,Setel rantai,"Rp 267,500"
275,Yamaha XMAX 250,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
276,Kawasaki Z900,6,50000,Kopling selip,Tinggi,Ganti set kopling,"Rp 1,525,000"
277,Yamaha Fino,8,60000,Tarikan berat,Sedang,Service CVT besar,"Rp 780,000"
278,Kawasaki Z1000,7,65000,Mesin berisik,Tinggi,"Turun mesin, cek klep","Rp 1,532,500"
279,Yamaha Mio J,9,75000,Suara mesin kasar,Tinggi,"Overhaul total, ganti piston","Rp 1,537,500"
280,Kawasaki KLX 250,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
281,Yamaha NMAX 155,5,40000,V-Belt putus,Tinggi,"Ganti V-belt, roller","Rp 1,520,000"
282,Kawasaki Ninja 250,2,15000,Normal,Ringan,Service rutin,"Rp 257,500"
283,Yamaha Aerox 155,4,30000,Starter sulit,Sedang,"Cek aki, service throttle body","Rp 765,000"
284,Kawasaki KLX 150,7,60000,Suspensi bocor,Sedang,Ganti seal dan oli shock,"Rp 780,000"
285,Yamaha Vixion,6,50000,Tarikan berat,Sedang,"Service injeksi, busi","Rp 775,000"
286,Yamaha Mio M3,8,70000,Knalpot berasap,Tinggi,Ganti ring piston,"Rp 1,535,000"
287,Kawasaki W175,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
288,Yamaha NMAX 155,7,65000,Mesin overheat,Tinggi,"Cek radiator, water pump","Rp 1,532,500"
289,Kawasaki Ninja 250,5,40000,Kopling keras,Sedang,Ganti kabel kopling,"Rp 770,000"
290,Yamaha Jupiter Z,7,60000,Suara mesin kasar,Tinggi,"Turun mesin, cek klep","Rp 1,530,000"
291,Yamaha Lexi,5,45000,Getaran CVT,Sedang,Ganti V-belt dan Roller,"Rp 772,500"
292,Kawasaki Z250,3,20000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 760,000"
293,Yamaha R15,4,35000,Normal,Ringan,Service rutin,"Rp 267,500"
294,Kawasaki D-Tracker 150,6,50000,Tarikan berat,Sedang,Service karburator,"Rp 775,000"
295,Yamaha XMAX 250,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
296,Kawasaki Z900,7,60000,Kopling selip,Tinggi,Set kopling baru,"Rp 1,530,000"
297,Yamaha Fino,5,40000,Gredeg saat jalan,Sedang,"Kampas ganda, roller","Rp 770,000"
298,Kawasaki Z1000,8,70000,Mesin mati mendadak,Tinggi,"Cek pengapian, ECU","Rp 1,535,000"
299,Yamaha Mio J,6,55000,Tarikan berat,Sedang,"Service CVT, ganti V-belt","Rp 777,500"
300,Kawasaki KLX 250,5,40000,Rantai berisik,Sedang,Ganti gear set,"Rp 770,000"
301,Yamaha NMAX 155,2,20000,Normal,Ringan,Service rutin,"Rp 260,000"
302,Kawasaki Ninja 250,6,50000,Oli bocor,Sedang,"Ganti seal, paking","Rp 775,000"
303,Yamaha Aerox 155,5,45000,MIL nyala (kedip),Tinggi,"Scan ECU, ganti sensor O2","Rp 1,522,500"
304,Kawasaki KLX 150,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
305,Yamaha Vixion,7,60000,Knalpot berasap,Tinggi,Ganti ring piston,"Rp 1,530,000"
306,Yamaha Mio M3,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
307,Kawasaki W175,7,55000,Suspensi bocor,Sedang,Ganti seal shock,"Rp 777,500"
308,Yamaha NMAX 155,8,70000,Oli bocor parah,Tinggi,"Turun mesin, ganti seal","Rp 1,535,000"
309,Kawasaki Ninja 650,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
310,Yamaha Jupiter Z,5,40000,Tarikan berat,Sedang,Service karburator,"Rp 770,000"
311,Yamaha Lexi,6,50000,Gredeg saat akselerasi,Sedang,Ganti kampas ganda,"Rp 775,000"
312,Kawasaki Z250,5,40000,Mesin panas,Sedang,"Cek radiator, busi","Rp 770,000"
313,Yamaha R15,7,60000,Kopling selip,Tinggi,Ganti set kopling,"Rp 1,530,000"
314,Kawasaki D-Tracker 150,4,30000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 765,000"
315,Yamaha XMAX 250,6,50000,Tarikan berat,Sedang,Service CVT besar,"Rp 775,000"
316,Kawasaki Z900,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
317,Yamaha Fino,9,70000,Suara mesin kasar,Tinggi,Overhaul total,"Rp 1,535,000"
318,Kawasaki Z1000,5,45000,Kopling selip,Tinggi,Ganti set kopling,"Rp 1,522,500"
319,Yamaha Mio J,8,65000,Knalpot berasap,Tinggi,Ganti ring piston,"Rp 1,532,500"
320,Kawasaki KLX 250,6,50000,Mesin berisik,Tinggi,"Turun mesin, cek stang seher","Rp 1,525,000"
321,Yamaha NMAX 155,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
322,Kawasaki Ninja 250,5,45000,Tarikan berat,Sedang,"Service injeksi, busi","Rp 772,500"
323,Yamaha Aerox 155,6,55000,Gredeg saat jalan,Sedang,"Ganti roller, kampas ganda","Rp 777,500"
324,Kawasaki KLX 150,4,35000,Normal,Ringan,Service rutin,"Rp 267,500"
325,Yamaha Vixion,8,70000,Mesin mati mendadak,Tinggi,"Cek pengapian, ECU","Rp 1,535,000"
326,Yamaha Mio M3,2,15000,Normal,Ringan,Service rutin,"Rp 257,500"
327,Kawasaki W175,5,40000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 770,000"
328,Yamaha NMAX 155,7,60000,V-Belt putus,Tinggi,"Ganti V-belt, service CVT","Rp 1,530,000"
329,Kawasaki Ninja 650,6,50000,Oli bocor,Sedang,"Ganti seal, paking","Rp 775,000"
330,Yamaha Jupiter Z,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
331,Yamaha Lexi,7,60000,Starter sulit,Sedang,Service throttle body,"Rp 780,000"
332,Kawasaki Z250,2,15000,Normal,Ringan,Service rutin,"Rp 257,500"
333,Yamaha R15,5,40000,Mesin panas,Sedang,"Cek radiator, ganti air","Rp 770,000"
334,Kawasaki D-Tracker 150,7,60000,Suspensi bocor,Sedang,Ganti seal shock,"Rp 780,000"
335,Yamaha XMAX 250,5,45000,Getaran CVT,Sedang,"Ganti roller, V-belt","Rp 772,500"
336,Kawasaki Z900,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
337,Yamaha Fino,6,55000,Knalpot berasap,Tinggi,Ganti ring piston,"Rp 1,527,500"
338,Kawasaki Z1000,4,35000,Mesin bergetar,Tinggi,"Setting injeksi, cek klep","Rp 1,517,500"
339,Yamaha Mio J,7,60000,Oli bocor parah,Tinggi,"Turun mesin, ganti seal","Rp 1,530,000"
340,Kawasaki KLX 250,5,45000,Tarikan berat,Sedang,Service karburator/injeksi,"Rp 772,500"
341,Yamaha NMAX 155,8,70000,Gredeg saat akselerasi,Sedang,Ganti kampas ganda,"Rp 785,000"
342,Kawasaki Ninja 250,4,35000,Normal,Ringan,Service rutin,"Rp 267,500"
343,Yamaha Aerox 155,7,65000,V-Belt putus,Tinggi,"Ganti V-belt, service CVT","Rp 1,532,500"
344,Kawasaki KLX 150,2,15000,Normal,Ringan,Service rutin,"Rp 257,500"
345,Yamaha Vixion,5,40000,Kopling selip,Sedang,Ganti kampas kopling,"Rp 770,000"
346,Yamaha Mio M3,6,50000,Knalpot berasap,Tinggi,Ganti ring piston,"Rp 1,525,000"
347,Kawasaki W175,3,25000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 762,500"
348,Yamaha NMAX 155,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
349,Kawasaki Ninja 650,7,60000,Mesin panas,Tinggi,"Cek radiator, water pump","Rp 1,530,000"
350,Yamaha Jupiter Z,8,70000,Mesin mati mendadak,Tinggi,"Cek pengapian, CDI","Rp 1,535,000"
351,Yamaha Lexi,2,18000,Normal,Ringan,Service rutin,"Rp 259,000"
352,Kawasaki Z250,6,50000,Tarikan berat,Sedang,"Service injeksi, busi","Rp 775,000"
353,Yamaha R15,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
354,Kawasaki D-Tracker 150,8,70000,Suspensi bocor,Sedang,Ganti seal shock,"Rp 785,000"
355,Yamaha XMAX 250,6,55000,Gredeg saat akselerasi,Sedang,"Ganti roller, kampas ganda","Rp 777,500"
356,Kawasaki Z900,5,40000,Kopling keras,Sedang,Ganti kabel kopling,"Rp 770,000"
357,Yamaha Fino,7,60000,Suara mesin kasar,Tinggi,"Overhaul, cek klep","Rp 1,530,000"
358,Kawasaki Z1000,6,50000,Knalpot berasap putih,Tinggi,Ganti ring piston,"Rp 1,525,000"
359,Yamaha Mio J,8,65000,Tarikan berat,Sedang,Service CVT besar,"Rp 782,500"
360,Kawasaki KLX 250,7,60000,Oli bocor,Sedang,"Ganti seal, paking","Rp 780,000"
361,Yamaha NMAX 155,5,40000,Normal,Ringan,Service rutin,"Rp 270,000"
362,Kawasaki Ninja 250,8,70000,Kopling selip,Tinggi,Ganti set kopling,"Rp 1,535,000"
363,Yamaha Aerox 155,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
364,Kawasaki KLX 150,9,75000,Mesin berisik,Tinggi,"Turun mesin, cek stang seher","Rp 1,537,500"
365,Yamaha Vixion,4,35000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 767,500"
366,Yamaha Mio M3,7,60000,Gredeg saat jalan,Sedang,Ganti kampas ganda,"Rp 780,000"
367,Kawasaki W175,6,50000,Normal,Ringan,Service rutin,"Rp 275,000"
368,Yamaha NMAX 155,9,80000,Mesin overheat,Tinggi,Ganti water pump,"Rp 1,540,000"
369,Kawasaki Ninja 650,4,30000,Kopling keras,Sedang,Ganti kabel kopling,"Rp 765,000"
370,Yamaha Jupiter Z,5,40000,Normal,Ringan,Service rutin,"Rp 270,000"
371,Yamaha Lexi,8,70000,V-Belt putus,Tinggi,"Ganti V-belt, roller","Rp 1,535,000"
372,Kawasaki Z250,3,20000,Normal,Ringan,Service rutin,"Rp 260,000"
373,Yamaha R15,6,50000,Knalpot berasap putih,Tinggi,Ganti ring piston,"Rp 1,525,000"
374,Kawasaki D-Tracker 150,4,35000,Normal,Ringan,Service rutin,"Rp 267,500"
375,Yamaha XMAX 250,7,60000,Starter sulit,Sedang,Service throttle body,"Rp 780,000"
376,Kawasaki Z900,5,40000,Normal,Ringan,Service rutin,"Rp 270,000"
377,Yamaha Fino,8,70000,Mesin mati mendadak,Tinggi,"Cek pengapian, ECU","Rp 1,535,000"
378,Kawasaki Z1000,6,50000,Mesin berisik,Tinggi,"Turun mesin, cek stang seher","Rp 1,525,000"
379,Yamaha Mio J,9,75000,Kopling selip,Tinggi,Ganti set kopling,"Rp 1,537,500"
380,Kawasaki KLX 250,7,60000,Tarikan berat,Sedang,"Service injeksi, busi","Rp 780,000"
381,Suzuki Satria F150,5,42000,Suara mesin kasar,Tinggi,"Setting klep, cek noken as","Rp 1,521,000"
382,Suzuki Address,2,15000,Normal,Ringan,"Service rutin, ganti oli","Rp 257,500"
383,Suzuki GSX-R150,3,25000,Kopling selip,Sedang,Ganti kampas kopling,"Rp 762,500"
384,Suzuki Skydrive,6,50000,Tarikan berat CVT,Sedang,"Ganti V-belt, roller","Rp 775,000"
385,Suzuki GSX-S150,4,35000,Rem kurang pakem,Sedang,"Ganti kampas rem, setel","Rp 767,500"
386,Suzuki Smash,8,70000,Knalpot berasap,Tinggi,"Ganti ring piston, seal klep","Rp 1,535,000"
387,Suzuki Nex II,1,9000,Normal,Ringan,"Oli mesin, busi","Rp 254,500"
388,Suzuki Satria FU,7,60000,Mesin panas,Sedang,"Cek radiator, water pump","Rp 780,000"
389,Suzuki Address Playful,3,22000,Gredeg saat akselerasi,Sedang,"Bersihkan CVT, ganti grease","Rp 761,000"
390,Suzuki Shogun SP,9,85000,Mesin mati mendadak,Tinggi,"Cek pengapian, CDI","Rp 1,542,500"
391,Suzuki Satria F150,2,18000,Normal,Ringan,Service rutin,"Rp 259,000"
392,Suzuki Address,5,40000,Oli bocor tipis,Sedang,"Ganti seal oli, paking","Rp 770,000"
393,Suzuki GSX-R150,6,55000,Tarikan berat,Tinggi,"Service injeksi, busi","Rp 1,527,500"
394,Suzuki Skydrive,4,30000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 765,000"
395,Suzuki GSX-S150,7,65000,Kopling keras,Sedang,Ganti kabel kopling,"Rp 782,500"
396,Suzuki Smash,10,90000,Suara mesin kasar,Tinggi,Overhaul total,"Rp 1,545,000"
397,Suzuki Nex II,3,20000,Normal,Ringan,Service rutin,"Rp 260,000"
398,Suzuki Satria FU,4,35000,Normal,Ringan,Service rutin,"Rp 267,500"
399,Suzuki Address Playful,7,60000,V-Belt putus,Tinggi,"Ganti V-belt, service CVT","Rp 1,530,000"
400,Suzuki Shogun SP,5,45000,Rantai berisik,Sedang,Ganti gear set,"Rp 772,500"
401,Suzuki Satria F150,6,50000,Mesin panas,Sedang,"Cek radiator, busi","Rp 775,000"
402,Suzuki Address,1,10000,Normal,Ringan,"Oli mesin, busi","Rp 255,000"
403,Suzuki GSX-R150,4,30000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 765,000"
404,Suzuki Skydrive,7,60000,Gredeg saat jalan,Sedang,"Kampas ganda, roller","Rp 780,000"
405,Suzuki GSX-S150,5,40000,Normal,Ringan,Service rutin,"Rp 270,000"
406,Suzuki Smash,9,80000,Oli bocor parah,Tinggi,"Turun mesin, ganti seal","Rp 1,540,000"
407,Suzuki Nex II,4,30000,Tarikan berat,Sedang,"Service CVT, busi","Rp 765,000"
408,Suzuki Satria FU,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
409,Suzuki Address Playful,6,50000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 775,000"
410,Suzuki Shogun SP,10,95000,Knalpot berasap,Tinggi,Ganti ring piston,"Rp 1,547,500"
411,Suzuki Satria F150,3,22000,Normal,Ringan,Service rutin,"Rp 261,000"
412,Suzuki Address,7,60000,Tarikan berat,Sedang,"Ganti V-belt, roller","Rp 780,000"
413,Suzuki GSX-R150,2,15000,Normal,Ringan,Service rutin,"Rp 257,500"
414,Suzuki Skydrive,8,70000,V-Belt putus,Tinggi,"Ganti V-belt, service CVT","Rp 1,535,000"
415,Suzuki GSX-S150,3,28000,Kopling selip,Sedang,Ganti kampas kopling,"Rp 764,000"
416,Suzuki Smash,5,40000,Normal,Ringan,Service rutin,"Rp 270,000"
417,Suzuki Nex II,6,50000,Tarikan berat,Sedang,"Service CVT, busi","Rp 775,000"
418,Suzuki Satria FU,8,75000,Suara mesin kasar,Tinggi,"Turun mesin, cek stang seher","Rp 1,537,500"
419,Suzuki Address Playful,2,18000,Normal,Ringan,Service rutin,"Rp 259,000"
420,Suzuki Shogun SP,7,65000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 782,500"
421,Suzuki Satria F150,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
422,Suzuki Address,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
423,Suzuki GSX-R150,7,60000,Mesin panas,Tinggi,"Cek radiator, water pump","Rp 1,530,000"
424,Suzuki Skydrive,5,40000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 770,000"
425,Suzuki GSX-S150,8,70000,Knalpot berasap,Tinggi,Ganti ring piston,"Rp 1,535,000"
426,Suzuki Smash,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
427,Suzuki Nex II,5,40000,Gredeg saat akselerasi,Sedang,Ganti kampas ganda,"Rp 770,000"
428,Suzuki Satria FU,9,80000,Oli bocor parah,Tinggi,"Turun mesin, ganti seal","Rp 1,540,000"
429,Suzuki Address Playful,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
430,Suzuki Shogun SP,8,75000,Tarikan berat,Sedang,Service karburator,"Rp 787,500"
431,Suzuki Satria F150,7,60000,Kopling selip,Sedang,Ganti kampas kopling,"Rp 780,000"
432,Suzuki Address,6,50000,Tarikan berat,Sedang,"Ganti V-belt, roller","Rp 775,000"
433,Suzuki GSX-R150,1,10000,Normal,Ringan,Service rutin,"Rp 255,000"
434,Suzuki Skydrive,9,80000,Suara mesin kasar,Tinggi,Overhaul total,"Rp 1,540,000"
435,Suzuki GSX-S150,2,18000,Normal,Ringan,Service rutin,"Rp 259,000"
436,Suzuki Smash,7,60000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 780,000"
437,Suzuki Nex II,1,8000,Normal,Ringan,"Oli mesin, busi","Rp 254,000"
438,Suzuki Satria FU,5,40000,Normal,Ringan,Service rutin,"Rp 270,000"
439,Suzuki Address Playful,8,70000,Tarikan berat,Sedang,"Ganti V-belt, roller","Rp 785,000"
440,Suzuki Shogun SP,6,55000,Normal,Ringan,Service rutin,"Rp 277,500"
441,Suzuki Satria F150,3,25000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 762,500"
442,Suzuki Address,4,35000,Gredeg saat akselerasi,Sedang,Ganti kampas ganda,"Rp 767,500"
