No,Nama Motor,Usia Motor (tahun),Jarak Tempuh (km),Gejala Kerusakan,Kelas Perawatan Kebutuhan,Komponen yang Diperiksa,Harga (Rp)
801,Yamaha NMAX 155,5,55000,Lampu MIL menyala terus (Injeksi),Tinggi,"Servis Berat (Injeksi), Ganti Injektor","Rp 1,527,500"
802,Honda PCX 160,3,30000,Aki cepat tekor,Sedang,"Ganti Kiprok (Regulator), Ganti Aki","Rp 765,000"
803,Kawasaki Ninja 250,7,65000,Oli mesin bocor parah,Tinggi,"Overhaul Mesin, Ganti Paking Set","Rp 1,532,500"
804,Suzuki Satria F150,4,35000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 267,500"
805,Honda Beat FI,8,75000,Asap knalpot putih,Tinggi,"Ganti Ring Piston, Servis Berat","Rp 1,537,500"
806,Yamaha Vixion,6,60000,Rem blong,Sedang,"Ganti Kampas Rem, Minyak Rem","Rp 780,000"
807,Suzuki Address,2,18000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 259,000"
808,Kawasaki KLX 150,5,45000,Suara mesin klotok,Tinggi,"Ganti Noken As, Setel Klep","Rp 1,522,500"
809,Honda CBR 150R,3,25000,Tarikan berat,Sedang,"Servis Berat (Injeksi), Filter Udara","Rp 762,500"
810,Yamaha Mio M3,7,65000,Starter mati total,Sedang,"Ganti Aki, Cek Dinamo Starter","Rp 782,500"
811,Suzuki GSX-R150,4,30000,Mesin panas berlebih,Sedang,"Ganti Air Radiator, Cek Termostat","Rp 765,000"
812,Honda Vario 125,5,40000,Getaran setang parah,Sedang,"Ganti Komstir, Laher Roda","Rp 770,000"
813,Kawasaki W175,2,15000,Rantai berisik,Ringan,"Ganti Oli, Setel Rantai","Rp 257,500"
814,Yamaha Aerox 155,6,50000,Lampu utama redup,Sedang,"Ganti Spul, Cek Kelistrikan","Rp 775,000"
815,Suzuki Skydrive,8,70000,Tarikan berat,Sedang,"Servis Ringan, Ganti V-Belt","Rp 785,000"
816,Honda Supra X 125,9,80000,Rem kurang pakem,Sedang,"Ganti Kampas Rem, Ganti Oli","Rp 790,000"
817,Yamaha NMAX 155,4,45000,Oli bocor dari blok mesin,Tinggi,"Ganti Paking Blok, Servis Berat","Rp 1,522,500"
818,Kawasaki Ninja 650,5,40000,Kelistrikan mati,Tinggi,"Ganti ECU/CDI, Servis Berat","Rp 1,520,000"
819,Suzuki Smash,10,90000,Suara mesin kasar,Tinggi,"Overhaul total, Ganti Stang Seher","Rp 1,545,000"
820,Honda PCX 160,1,10000,Normal,Ringan,Ganti Oli,"Rp 255,000"
821,Yamaha R15,3,25000,Rem kurang pakem,Sedang,"Ganti Kampas Rem, Minyak Rem","Rp 762,500"
822,Honda Vario 150,7,65000,Mesin mati mendadak,Tinggi,"Ganti Spul, Cek Koil","Rp 1,532,500"
823,Suzuki Satria F150,6,50000,Suspensi belakang ambles,Sedang,Ganti Shockbreaker Belakang,"Rp 775,000"
824,Kawasaki KLX 250,4,35000,Tarikan berat,Sedang,"Servis Berat (Karbu), Filter Udara","Rp 767,500"
825,Honda Beat Street,2,20000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 260,000"
826,Yamaha XMAX 250,5,40000,Aki soak,Sedang,"Ganti Aki, Cek Kiprok","Rp 770,000"
827,Suzuki Address Playful,3,25000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 262,500"
828,Kawasaki Ninja 250,8,70000,Mesin bergetar hebat,Tinggi,"Overhaul, Ganti Stang Seher","Rp 1,535,000"
829,Honda CBR 250RR,4,30000,Suara knalpot meledak,Sedang,"Servis Berat (Injeksi), Setting CO","Rp 765,000"
830,Yamaha Mio J,9,80000,Oli bocor parah,Tinggi,"Overhaul, Ganti Paking Set","Rp 1,540,000"
831,Suzuki GSX-S150,5,40000,Rem blong,Sedang,"Ganti Kampas Rem, Ganti Oli","Rp 770,000"
832,Honda Revo,10,90000,Starter sulit,Sedang,"Ganti Aki, Servis Ringan","Rp 795,000"
833,Kawasaki W175,6,50000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 775,000"
834,Yamaha Lexi,3,28000,Aki cepat tekor,Sedang,"Ganti Kiprok, Cek Kabel","Rp 764,000"
835,Suzuki Shogun SP,7,60000,Knalpot berasap,Tinggi,"Ganti Ring Piston, Servis Berat","Rp 1,530,000"
836,Honda ADV 150,4,35000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 267,500"
837,Yamaha NMAX 155,7,65000,Suara klotok di mesin,Tinggi,"Ganti Noken As, Cek Rantai Keteng","Rp 1,532,500"
838,Kawasaki Ninja 250,3,25000,Normal,Ringan,Ganti Oli,"Rp 262,500"
839,Suzuki Address,5,40000,Gredeg saat akselerasi,Sedang,"Servis Berat (CVT), Ganti Kampas Ganda","Rp 770,000"
840,Honda Vario 150,6,50000,Overheat,Sedang,"Ganti Air Radiator, Cek Selang","Rp 775,000"
841,Yamaha Aerox 155,4,35000,Aki soak,Sedang,"Ganti Aki, Servis Ringan","Rp 767,500"
842,Honda PCX 160,5,40000,Lampu MIL menyala (Sensor O2),Tinggi,"Ganti Sensor O2, Servis Berat","Rp 1,520,000"
843,Kawasaki KLX 150,7,60000,Rem blong,Sedang,"Ganti Kampas Rem, Minyak Rem","Rp 780,000"
844,Suzuki Satria F150,8,70000,Mesin mati mendadak,Tinggi,"Ganti CDI/ECU, Cek Koil","Rp 1,535,000"
845,Honda Beat Street,3,28000,Normal,Ringan,Ganti Oli,"Rp 264,000"
846,Yamaha Vixion,5,45000,Rantai berisik,Ringan,Ganti Rantai Set,"Rp 272,500"
847,Suzuki GSX-R150,6,55000,Oli bocor tipis,Sedang,"Ganti Seal Oli, Servis Ringan","Rp 777,500"
848,Kawasaki Ninja 650,4,30000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 265,000"
849,Honda Supra GTR,9,80000,Suara mesin kasar,Tinggi,"Overhaul, Ganti Piston Set","Rp 1,540,000"
850,Yamaha Mio M3,6,50000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 775,000"
851,Suzuki Address Playful,7,60000,Tarikan berat,Sedang,"Servis Berat (CVT), Ganti V-Belt","Rp 780,000"
852,Honda CBR 150R,4,35000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 267,500"
853,Kawasaki KLX 250,5,45000,Aki cepat tekor,Sedang,"Ganti Kiprok, Ganti Aki","Rp 772,500"
854,Yamaha NMAX 155,8,70000,Mesin bergetar hebat,Tinggi,"Ganti Noken As, Setel Klep","Rp 1,535,000"
855,Suzuki Skydrive,3,25000,Normal,Ringan,Ganti Oli,"Rp 262,500"
856,Honda Vario 125,5,40000,Starter sulit,Sedang,"Ganti Aki, Cek Kelistrikan","Rp 770,000"
857,Kawasaki W175,7,65000,Oli bocor parah,Tinggi,"Overhaul, Ganti Paking Set","Rp 1,532,500"
858,Yamaha Aerox 155,2,20000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 760,000"
859,Suzuki Shogun SP,9,80000,Suara mesin klotok,Tinggi,"Ganti Noken As, Servis Berat","Rp 1,540,000"
860,Honda ADV 150,6,50000,Lampu utama mati,Sedang,"Ganti Spul, Cek Kabel","Rp 775,000"
861,Yamaha R15,4,35000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 267,500"
862,Honda PCX 160,7,60000,Suara mesin kasar,Tinggi,"Overhaul, Ganti Rantai Keteng","Rp 1,530,000"
863,Kawasaki Ninja 250,5,45000,Rem blong,Sedang,"Ganti Kampas Rem, Minyak Rem","Rp 772,500"
864,Suzuki Address,8,75000,Mesin mati mendadak,Tinggi,"Ganti ECU/CDI, Servis Berat","Rp 1,537,500"
865,Honda Beat FI,3,28000,Normal,Ringan,Ganti Oli,"Rp 264,000"
866,Yamaha XMAX 250,6,50000,Overheat,Sedang,"Ganti Air Radiator, Cek Termostat","Rp 775,000"
867,Suzuki GSX-S150,4,35000,Aki cepat tekor,Sedang,"Ganti Kiprok, Ganti Aki","Rp 767,500"
868,Kawasaki KLX 150,9,80000,Asap knalpot putih,Tinggi,"Ganti Ring Piston, Overhaul","Rp 1,540,000"
869,Honda Supra X 125,5,40000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 270,000"
870,Yamaha Mio J,10,90000,Suara mesin kasar,Tinggi,"Overhaul Total, Ganti Piston Set","Rp 1,545,000"
871,Suzuki Smash,1,10000,Normal,Ringan,Ganti Oli,"Rp 255,000"
872,Honda Vario 150,4,35000,MIL menyala (Sensor TP),Sedang,"Servis Berat (Injeksi), Ganti Sensor TP","Rp 767,500"
873,Kawasaki W175,8,70000,Lampu utama redup,Sedang,"Ganti Spul, Cek Kelistrikan","Rp 785,000"
874,Yamaha Lexi,5,40000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 270,000"
875,Suzuki Shogun SP,6,55000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 777,500"
876,Honda PCX 160,3,25000,Getaran setang parah,Sedang,"Ganti Komstir, Laher Roda","Rp 762,500"
877,Yamaha NMAX 155,6,60000,Mesin mati mendadak,Tinggi,"Ganti Koil, Cek ECU","Rp 1,530,000"
878,Kawasaki Ninja 250,4,30000,Aki soak,Sedang,"Ganti Aki, Cek Kiprok","Rp 765,000"
879,Suzuki Address,9,80000,Oli bocor parah,Tinggi,"Overhaul Mesin, Ganti Paking Set","Rp 1,540,000"
880,Honda ADV 150,5,40000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 270,000"
881,Yamaha Aerox 155,7,65000,Suara klotok di mesin,Tinggi,"Ganti Noken As, Setel Klep","Rp 1,532,500"
882,Honda CBR 250RR,4,35000,Rem blong,Sedang,"Ganti Kampas Rem, Minyak Rem","Rp 767,500"
883,Kawasaki KLX 150,5,45000,Tarikan berat,Sedang,"Servis Berat (Karbu), Filter Udara","Rp 772,500"
884,Suzuki Satria F150,2,20000,Normal,Ringan,Ganti Oli,"Rp 260,000"
885,Honda Beat Street,8,70000,Asap knalpot putih,Tinggi,"Ganti Ring Piston, Overhaul","Rp 1,535,000"
886,Yamaha Vixion,3,25000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 762,500"
887,Suzuki GSX-R150,7,60000,Kelistrikan mati,Tinggi,"Ganti ECU/CDI, Servis Berat","Rp 1,530,000"
888,Kawasaki Ninja 650,6,50000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 275,000"
889,Honda Supra X 125,5,45000,Rem blong,Sedang,"Ganti Kampas Rem, Minyak Rem","Rp 772,500"
890,Yamaha Mio M3,8,70000,Lampu utama redup,Sedang,"Ganti Spul, Cek Kabel","Rp 785,000"
891,Suzuki Address Playful,4,30000,Normal,Ringan,Ganti Oli,"Rp 265,000"
892,Honda Vario 125,7,65000,Aki cepat tekor,Sedang,"Ganti Kiprok, Ganti Aki","Rp 782,500"
893,Kawasaki KLX 250,5,40000,Suara mesin kasar,Tinggi,"Overhaul Total, Ganti Stang Seher","Rp 1,520,000"
894,Yamaha XMAX 250,2,20000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 260,000"
895,Suzuki Skydrive,9,80000,Oli bocor parah,Tinggi,"Overhaul, Ganti Paking Set","Rp 1,540,000"
896,Honda Revo,3,25000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 762,500"
897,Yamaha R15,6,50000,Mesin panas berlebih,Sedang,"Ganti Air Radiator, Cek Selang","Rp 775,000"
898,Suzuki GSX-S150,5,45000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 272,500"
899,Kawasaki W175,7,60000,Starter mati total,Sedang,"Ganti Aki, Cek Dinamo","Rp 780,000"
900,Honda ADV 150,8,70000,Suara klotok di mesin,Tinggi,"Ganti Noken As, Setel Klep","Rp 1,535,000"
901,Yamaha NMAX 155,4,35000,Normal,Ringan,Ganti Oli,"Rp 267,500"
902,Honda PCX 160,6,50000,Rem blong,Sedang,"Ganti Kampas Rem, Minyak Rem","Rp 775,000"
903,Kawasaki Ninja 250,5,40000,Lampu utama redup,Sedang,"Ganti Spul, Cek Kabel","Rp 770,000"
904,Suzuki Satria F150,9,80000,Mesin mati mendadak,Tinggi,"Ganti ECU/CDI, Servis Berat","Rp 1,540,000"
905,Honda Beat FI,7,65000,Tarikan berat,Sedang,"Servis Berat (Injeksi), Filter Udara","Rp 782,500"
906,Yamaha Vixion,4,30000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 265,000"
907,Suzuki Address,6,50000,Aki cepat tekor,Sedang,"Ganti Kiprok, Ganti Aki","Rp 775,000"
908,Kawasaki KLX 150,8,75000,Oli bocor parah,Tinggi,"Overhaul, Ganti Paking Set","Rp 1,537,500"
909,Honda CBR 150R,5,40000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 770,000"
910,Yamaha Mio M3,3,25000,Normal,Ringan,Ganti Oli,"Rp 262,500"
911,Suzuki GSX-R150,7,65000,Asap knalpot putih,Tinggi,"Ganti Ring Piston, Servis Berat","Rp 1,532,500"
912,Honda Vario 125,4,30000,Mesin panas berlebih,Sedang,"Ganti Air Radiator, Cek Selang","Rp 765,000"
913,Kawasaki Ninja 650,5,45000,Rem kurang pakem,Sedang,"Ganti Kampas Rem, Minyak Rem","Rp 772,500"
914,Yamaha Aerox 155,8,70000,Gredeg saat akselerasi,Sedang,"Servis Berat (CVT), Ganti Kampas Ganda","Rp 785,000"
915,Suzuki Skydrive,4,35000,Normal,Ringan,Ganti Oli,"Rp 267,500"
916,Honda Supra GTR,6,50000,Rem blong,Sedang,"Ganti Kampas Rem, Minyak Rem","Rp 775,000"
917,Yamaha XMAX 250,3,25000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 262,500"
918,Suzuki Address Playful,8,70000,Suara mesin kasar,Tinggi,"Overhaul, Ganti Stang Seher","Rp 1,535,000"
919,Kawasaki KLX 250,4,30000,Normal,Ringan,Ganti Oli,"Rp 265,000"
920,Honda CBR 250RR,5,40000,Kelistrikan mati,Tinggi,"Ganti ECU/CDI, Servis Berat","Rp 1,520,000"
921,Yamaha Mio J,9,80000,Starter mati total,Sedang,"Ganti Aki, Cek Dinamo","Rp 790,000"
922,Honda Revo,6,50000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 275,000"
923,Kawasaki W175,3,25000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 762,500"
924,Suzuki Smash,7,60000,Lampu utama redup,Sedang,"Ganti Spul, Cek Kabel","Rp 780,000"
925,Honda ADV 150,5,40000,Aki soak,Sedang,"Ganti Aki, Cek Kiprok","Rp 770,000"
926,Yamaha R15,7,60000,Tarikan berat,Sedang,"Servis Berat (Injeksi), Filter Udara","Rp 780,000"
927,Suzuki GSX-S150,4,30000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 265,000"
928,Kawasaki Ninja 250,8,70000,Mesin bergetar hebat,Tinggi,"Ganti Noken As, Servis Berat","Rp 1,535,000"
929,Honda Supra X 125,5,45000,Normal,Ringan,Ganti Oli,"Rp 272,500"
930,Yamaha Lexi,9,80000,Oli bocor parah,Tinggi,"Overhaul Total, Ganti Paking","Rp 1,540,000"
931,Suzuki Shogun SP,2,20000,Normal,Ringan,Ganti Oli,"Rp 260,000"
932,Honda PCX 160,7,65000,Suara klotok di mesin,Tinggi,"Ganti Noken As, Setel Klep","Rp 1,532,500"
933,Kawasaki KLX 150,5,40000,Rem blong,Sedang,"Ganti Kampas Rem, Minyak Rem","Rp 770,000"
934,Suzuki Satria F150,3,25000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 262,500"
935,Honda Beat Street,6,50000,Asap knalpot putih,Tinggi,"Ganti Ring Piston, Overhaul","Rp 1,525,000"
936,Yamaha Vixion,8,70000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 785,000"
937,Suzuki Address,4,30000,Normal,Ringan,Ganti Oli,"Rp 265,000"
938,Kawasaki Ninja 650,7,65000,Mesin mati mendadak,Tinggi,"Ganti ECU/CDI, Cek Koil","Rp 1,532,500"
939,Honda CBR 250RR,5,45000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 272,500"
940,Yamaha Mio M3,10,90000,Suara mesin kasar,Tinggi,"Overhaul Total, Ganti Piston Set","Rp 1,545,000"
941,Suzuki GSX-R150,6,50000,Aki soak,Sedang,"Ganti Aki, Cek Kiprok","Rp 775,000"
942,Honda Vario 125,4,35000,Getaran setang parah,Sedang,"Ganti Komstir, Laher Roda","Rp 767,500"
943,Kawasaki KLX 250,8,70000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 785,000"
944,Yamaha Aerox 155,5,40000,Lampu utama mati,Sedang,"Ganti Spul, Cek Kabel","Rp 770,000"
945,Suzuki Skydrive,7,60000,Tarikan berat,Sedang,"Servis Berat (CVT), Ganti V-Belt","Rp 780,000"
946,Honda Supra GTR,4,30000,Normal,Ringan,Ganti Oli,"Rp 265,000"
947,Yamaha XMAX 250,9,80000,Rem blong,Sedang,"Ganti Kampas Rem, Minyak Rem","Rp 790,000"
948,Suzuki Address Playful,5,40000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 270,000"
949,Kawasaki W175,6,55000,Oli bocor tipis,Sedang,"Ganti Seal Oli, Servis Ringan","Rp 777,500"
950,Honda ADV 150,7,60000,Overheat,Sedang,"Ganti Air Radiator, Cek Selang","Rp 780,000"
951,Ducati Panigale V4,3,15000,Mesin overheat,Tinggi,"Ganti radiator, Cek jalur coolant","Rp 1,507,500"
952,Harley-Davidson Fat Bob,5,25000,Kelistrikan mati total,Tinggi,Ganti ECU/Modul Kelistrikan,"Rp 1,512,500"
953,KTM Duke 390,4,35000,Shockbreaker bocor,Sedang,Servis Shock Depan/Belakang,"Rp 767,500"
954,Viar Cross X 200,2,18000,Rantai berisik,Ringan,Ganti Rantai Set,"Rp 259,000"
955,BMW R 1250 GS,6,50000,Rem ABS bermasalah,Tinggi,"Ganti Sensor ABS, Servis Berat","Rp 1,525,000"
956,Husqvarna Svartpilen 401,1,10000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 255,000"
957,Ducati Monster 821,5,30000,Suara mesin kasar,Tinggi,"Ganti Noken As, Setel Desmodromic Valve","Rp 1,515,000"
958,Harley-Davidson Sportster,8,45000,Oli bocor parah,Tinggi,"Overhaul, Ganti Paking Mesin","Rp 1,522,500"
959,KTM RC 200,3,20000,Rem kurang pakem,Sedang,Ganti Kampas Rem Brembo,"Rp 760,000"
960,Viar Karya Bit,6,60000,Asap knalpot putih,Tinggi,"Ganti Ring Piston, Servis Berat","Rp 1,530,000"
961,BMW S 1000 RR,4,25000,Mesin mati mendadak,Tinggi,"Ganti ECU/CDI, Cek Koil","Rp 1,512,500"
962,Husqvarna Vitpilen 250,2,15000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 257,500"
963,Ducati Scrambler,7,40000,Rem blong,Sedang,"Ganti Kampas Rem, Minyak Rem","Rp 770,000"
964,Harley-Davidson Street 500,4,30000,Aki cepat tekor,Sedang,"Ganti Kiprok, Ganti Aki","Rp 765,000"
965,KTM Duke 250,5,40000,Lampu utama redup,Sedang,"Ganti Spul, Cek Kabel Body","Rp 770,000"
966,Viar Cross X 250 ES,3,25000,Normal,Ringan,Ganti Oli,"Rp 262,500"
967,BMW F 850 GS,7,60000,Suara klotok di mesin,Tinggi,"Ganti Rantai Keteng, Servis Berat","Rp 1,530,000"
968,Husqvarna TE 300i,5,35000,Tarikan berat,Sedang,"Servis Injeksi/Karbu, Filter Udara","Rp 767,500"
969,Ducati Hypermotard,4,30000,Suara knalpot meledak,Sedang,"Servis Injeksi, Setting CO","Rp 765,000"
970,Harley-Davidson Road King,9,65000,Mesin overheat,Tinggi,"Overhaul, Ganti Piston Set","Rp 1,532,500"
971,KTM RC 390,2,18000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 259,000"
972,Viar Karya Roda Tiga,7,70000,Oli bocor tipis,Sedang,"Ganti Seal Oli, Servis Berat","Rp 785,000"
973,BMW R nineT,5,40000,Getaran setang parah,Sedang,"Ganti Komstir, Cek Laher Roda","Rp 770,000"
974,Husqvarna Norden 901,3,20000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 760,000"
975,Ducati Multistrada 950,6,50000,MIL menyala (Sensor ABS),Tinggi,"Ganti Sensor ABS, Scan ECU","Rp 1,525,000"
976,Harley-Davidson Iron 883,4,35000,Starter sulit,Sedang,"Ganti Aki, Cek Dinamo Starter","Rp 767,500"
977,KTM 1290 Super Duke R,6,45000,Suara mesin kasar,Tinggi,"Overhaul Mesin, Ganti Stang Seher","Rp 1,522,500"
978,Viar Cross X 150,5,40000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 270,000"
979,BMW G 310 R,3,25000,Normal,Ringan,Ganti Oli,"Rp 262,500"
980,Husqvarna FE 501,4,30000,Shock depan mati,Sedang,"Servis Shock Depan, Ganti Oli","Rp 765,000"
981,Ducati Diavel,5,40000,Aki soak,Sedang,"Ganti Aki, Cek Kiprok","Rp 770,000"
982,Harley-Davidson V-Rod,7,55000,Mesin mati mendadak,Tinggi,"Ganti Koil, Cek Wiring Harness","Rp 1,527,500"
983,KTM Duke 790,4,30000,Lampu MIL menyala (Injeksi),Tinggi,"Ganti Injektor, Servis Berat","Rp 1,515,000"
984,Viar Karya Bit,8,75000,Rem blong,Sedang,"Ganti Master Rem, Kampas Rem","Rp 787,500"
985,BMW K 1600 GTL,6,50000,Kelistrikan mati (Navigasi),Tinggi,"Ganti Modul Kelistrikan, Servis Berat","Rp 1,525,000"
986,Husqvarna Svartpilen 250,2,15000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 257,500"
987,Ducati Panigale V2,4,20000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 760,000"
988,Harley-Davidson Low Rider,6,48000,Suara klotok di mesin,Tinggi,"Ganti Lifter/Tappet, Servis Berat","Rp 1,524,000"
989,KTM RC 390,5,35000,Mesin panas berlebih,Sedang,"Ganti Air Radiator, Cek Selang","Rp 767,500"
990,Viar Cross X 200,3,22000,Tarikan berat,Sedang,"Servis Karburator, Ganti Filter","Rp 761,000"
991,BMW G 310 GS,4,30000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 265,000"
992,Husqvarna Vitpilen 401,5,40000,Shock belakang keras,Sedang,Servis Shock Belakang,"Rp 770,000"
993,Ducati Monster 797,7,60000,Asap knalpot putih,Tinggi,"Ganti Ring Piston, Overhaul","Rp 1,530,000"
994,Harley-Davidson Heritage Classic,8,60000,Aki cepat tekor,Tinggi,"Ganti Spul (Stator), Ganti Kiprok","Rp 1,530,000"
995,KTM Duke 200,3,25000,Normal,Ringan,Ganti Oli,"Rp 262,500"
996,Viar Karya Bit,4,35000,Rem kurang pakem,Sedang,Ganti Kampas Rem,"Rp 767,500"
997,BMW R 1200 GS,7,65000,Lampu utama mati,Tinggi,Ganti Modul Lampu (CanBus),"Rp 1,532,500"
998,Husqvarna FE 450,6,50000,Oli bocor parah,Tinggi,"Overhaul, Ganti Paking Total","Rp 1,525,000"
999,Ducati XDiavel,5,30000,Normal,Ringan,"Ganti Oli, Servis Ringan","Rp 265,000"
1000,Harley-Davidson Breakout,4,20000,Rem ABS bermasalah,Tinggi,"Ganti Sensor ABS, Scan ECU","Rp 1,510,000"